uid,follower_id
1254,1089
1254,154
1254,415
1254,48
154,1254
154,629
154,1704
154,1714
154,269
154,1288
154,1608
154,190
154,779
154,1772
154,1643
154,1236
154,1538
1627,1815
1627,606
1627,617
1627,1040
1627,663
1627,1328
391,1848
391,575
1553,820
1553,1040
1553,629
1236,154
1236,1525
1236,1754
1525,1714
1525,629
1525,1843
1525,434
1525,314
1525,692
1525,1040
1525,746
1525,1089
1525,1236
1525,475
1473,1848
415,190
415,1254
1082,334
1233,94
629,965
629,749
629,206
629,1648
629,1147
629,1241
629,1684
629,1282
629,39
629,37
629,1180
629,334
629,1714
629,64
629,1934
629,361
629,1754
629,1525
629,549
629,1794
629,253
629,434
629,1850
629,1077
629,1040
629,1806
629,1164
629,1199
629,42
629,802
629,254
629,10
629,1668
629,1089
629,72
629,154
629,502
629,1553
629,59
629,238
629,75
629,700
629,1399
629,363
629,1303
629,1146
629,1813
1312,1960
1312,1508
1312,269
547,426
547,1342
269,1960
269,1312
269,1031
269,602
269,154
269,326
269,1962
269,1819
269,896
269,57
269,1798
1239,798
1303,629
1643,154
1643,322
1643,510
1714,629
1714,1776
1714,1525
1714,64
1714,749
1714,154
1714,1434
1714,238
1714,1527
1714,1668
1714,1185
1714,332
1848,296
1848,1344
1848,971
1848,1473
1848,575
1848,598
1848,1568
1848,391
1848,617
1848,407
687,190
1180,254
1180,629
1180,1089
1180,372
1180,334
1451,1815
190,154
190,869
190,557
190,1434
190,1368
190,1597
190,169
190,687
190,544
190,287
190,933
190,1018
190,415
190,1695
190,734
190,242
190,1805
190,119
190,161
190,121
190,541
190,1877
190,1024
190,773
190,948
190,199
190,323
190,155
190,523
190,449
190,913
190,354
190,30
190,1905
190,811
190,700
190,240
190,1333
426,547
426,984
426,1342
717,1754
94,1233
1648,254
1648,629
1648,10
1018,1805
1018,190
1018,449
1018,1024
1018,644
606,1815
606,1040
606,617
606,1241
606,1627
606,1038
1538,154
1508,1312
1508,1798
549,254
549,1147
549,629
287,190
287,1410
617,1848
617,1045
617,606
617,1627
617,139
1348,1077
1348,238
1040,606
1040,1852
1040,629
1040,1089
1040,918
1040,1525
1040,1396
1040,749
1040,1017
1040,39
1040,206
1040,1553
1040,1430
1040,1627
381,1433
381,446
1396,749
1396,1040
984,426
984,1342
254,629
254,1180
254,1648
254,549
1454,68
1185,430
1185,1714
1185,577
503,39
503,502
503,749
64,1714
64,39
64,629
1776,1714
1288,154
93,361
93,1934
