restaurant_id,type_id
1,1
1,2
1,3
1,4
2,5
2,6
2,7
2,1
2,8
3,9
3,10
3,11
3,12
3,13
3,14
4,8
4,6
4,5
4,1
5,15
5,1
5,16
6,12
6,17
6,18
7,1
7,19
7,10
7,4
8,20
8,21
9,22
10,3
10,1
10,23
10,11
10,24
10,13
11,25
11,26
12,10
13,27
14,21
14,28
15,29
15,11
15,10
15,13
16,30
16,31
16,7
17,30
17,32
17,33
18,30
19,34
19,35
19,36
19,12
19,4
19,37
19,1
20,5
21,38
21,25
21,1
21,10
21,30
21,39
22,40
23,3
23,24
23,11
23,13
23,12
23,41
23,1
23,42
23,18
23,23
23,17
24,10
25,3
25,23
25,43
25,44
25,1
26,45
26,10
27,30
28,33
28,28
28,5
29,46
29,45
29,12
29,13
29,11
30,47
30,29
30,48
30,11
30,13
31,28
31,11
31,13
31,29
31,45
31,9
32,12
32,11
32,13
32,46
33,12
33,46
33,11
33,13
33,25
33,32
33,48
34,10
35,5
35,46
35,11
35,49
35,32
35,50
35,13
35,45
36,51
36,19
36,52
36,1
36,3
36,7
36,53
37,21
37,20
37,26
38,1
38,32
38,3
38,18
38,7
38,4
39,13
39,9
39,41
39,24
39,11
39,47
39,54
40,55
40,56
40,32
40,38
40,1
41,8
41,3
41,7
41,1
42,10
42,16
42,1
43,57
43,58
43,59
43,6
43,7
43,60
44,45
44,23
44,10
44,12
45,28
46,28
46,61
47,62
48,63
48,64
48,28
48,65
49,11
49,49
49,45
49,13
49,24
50,7
50,6
51,30
52,13
52,31
52,9
52,11
52,12
53,40
54,29
54,10
54,13
54,28
54,11
55,11
55,46
55,13
56,66
56,28
56,48
56,67
56,68
56,11
56,1
56,13
57,69
58,28
58,20
58,21
59,62
59,6
60,13
60,11
60,62
61,5
61,6
62,70
63,10
64,54
64,71
64,35
64,72
64,1
64,53
64,45
64,73
64,74
64,41
64,75
64,76
64,77
64,78
65,70
66,21
66,20
67,6
67,7
67,79
68,7
68,30
68,31
69,30
70,6
70,1
70,5
70,3
71,45
71,5
71,6
71,25
72,5
72,6
73,21
73,40
73,80
74,4
74,42
74,81
74,1
74,41
75,18
76,35
76,13
76,82
76,30
76,83
77,12
77,5
77,50
77,7
77,11
77,13
77,48
78,25
78,20
78,21
79,84
79,1
79,16
79,85
80,11
80,9
80,13
80,35
80,86
80,87
81,11
81,49
81,13
81,30
81,60
81,88
81,89
82,12
83,45
83,1
83,11
83,13
83,49
84,46
84,11
84,13
84,10
84,30
85,18
85,90
85,81
85,1
85,3
86,32
86,5
86,91
87,10
87,13
87,11
87,29
87,92
88,49
88,11
88,45
88,13
89,93
89,20
89,94
89,46
89,49
89,26
89,80
89,95
89,40
89,13
89,11
90,30
90,11
90,13
90,7
91,96
91,11
91,86
91,13
92,18
92,97
92,3
92,1
93,18
94,10
94,31
94,30
95,1
95,4
96,40
96,69
97,98
97,99
97,100
97,1
97,4
97,23
98,20
98,21
99,101
99,12
99,13
99,11
100,62
101,41
101,102
101,28
101,91
101,83
101,103
101,38
101,54
101,61
101,1
102,10
102,30
102,104
102,11
102,24
102,13
103,105
103,62
104,99
104,1
104,16
105,10
105,32
105,11
105,54
105,24
105,13
105,41
106,5
107,10
107,28
107,12
107,25
107,106
108,13
108,11
108,29
108,21
108,20
108,26
109,7
109,31
109,107
109,1
110,80
110,15
110,40
111,103
111,38
111,1
111,30
112,40
112,21
113,7
114,108
114,90
114,109
114,110
114,1
114,55
115,61
115,83
115,13
115,29
115,18
115,28
115,11
116,32
116,111
116,112
116,29
116,1
116,113
116,33
116,114
116,11
116,13
117,85
117,1
117,16
117,14
117,115
117,65
118,25
118,5
119,31
119,7
119,30
120,38
120,1
120,28
120,116
121,32
121,27
121,5
121,12
121,6
122,13
122,9
122,12
122,11
123,10
123,25
124,62
124,12
125,62
125,30
126,62
127,30
127,6
127,104
127,32
128,11
128,9
128,13
128,12
129,12
129,117
129,13
129,118
130,5
131,6
131,5
131,1
131,3
132,6
133,7
134,112
134,119
134,17
134,111
135,1
135,3
135,4
135,23
136,45
136,18
136,5
137,30
138,1
138,53
138,113
138,120
138,19
139,70
139,27
140,41
140,121
140,42
140,1
140,122
140,106
140,12
140,16
141,1
141,103
141,38
141,80
142,45
143,123
144,10
144,13
144,83
144,11
144,18
144,30
145,30
145,31
145,7
146,3
146,1
146,23
146,4
147,62
147,48
147,11
147,46
147,13
147,124
148,7
148,30
148,32
149,125
149,99
149,105
150,22
151,21
151,20
151,40
152,42
152,41
152,7
153,116
153,28
153,38
153,1
154,126
154,35
154,120
154,115
155,30
156,99
156,16
156,1
157,1
157,62
157,16
158,80
158,1
158,38
158,103
159,7
159,23
159,5
159,1
160,41
160,127
160,45
160,12
160,54
160,11
160,13
161,40
162,12
162,17
162,18
163,7
164,40
165,1
165,5
165,3
165,6
166,3
166,45
166,1
166,23
166,18
167,5
167,23
167,62
167,12
168,63
169,1
169,6
169,7
169,12
169,5
169,17
170,105
170,128
171,45
171,7
171,30
172,47
172,13
172,80
172,11
172,29
173,31
173,10
173,32
173,30
174,10
174,6
174,31
174,30
175,79
175,129
175,21
176,1
176,81
176,18
176,3
176,7
176,19
176,45
177,15
177,7
178,1
178,12
178,6
178,8
178,5
179,1
179,3
179,5
179,6
180,112
181,112
182,29
182,45
182,122
182,12
182,13
182,11
182,1
183,41
183,12
183,1
183,42
183,6
183,79
183,18
184,6
184,5
185,81
185,1
185,18
185,3
185,5
185,19
186,11
186,18
186,45
186,3
186,1
186,13
186,110
187,28
187,18
187,12
188,40
189,70
190,12
190,11
190,18
190,13
190,29
190,72
190,75
190,41
191,61
191,28
191,130
192,16
192,42
192,41
192,1
192,62
192,131
192,122
193,65
193,49
193,11
193,13
193,14
194,1
194,40
194,2
194,15
195,12
195,87
195,29
195,5
195,11
195,45
195,13
195,35
196,45
196,70
196,5
196,7
196,32
197,81
197,42
197,7
197,41
197,19
197,1
198,112
199,111
199,112
200,42
200,70
200,12
200,41
201,18
201,3
201,7
201,1
201,23
202,1
202,23
202,3
202,18
203,10
203,131
203,1
204,62
205,17
206,11
206,29
206,3
206,1
206,23
206,25
206,13
206,92
207,10
207,12
207,30
207,132
208,13
208,28
208,11
208,12
209,133
209,99
210,1
210,18
210,81
210,3
211,31
211,32
211,30
211,10
211,7
212,79
212,6
212,31
213,22
213,12
213,7
213,132
213,3
213,18
213,1
214,11
214,13
214,12
214,87
214,1
214,35
214,37
215,19
215,53
215,1
215,3
215,7
216,4
216,23
216,81
216,1
216,33
216,32
216,7
216,18
217,19
217,134
217,135
217,65
217,14
217,1
218,18
218,12
219,45
219,41
219,11
219,9
219,12
219,136
219,75
219,72
219,13
219,35
219,54
220,83
220,45
220,18
221,12
221,9
221,46
221,13
221,11
221,47
221,48
221,29
222,45
222,41
222,35
222,137
222,138
222,117
222,139
222,140
222,54
223,122
223,37
223,18
223,70
223,45
223,1
223,12
224,20
224,21
225,7
225,5
225,1
225,6
225,3
226,10
226,30
227,112
228,8
228,1
228,115
228,27
229,6
229,1
229,3
229,5
230,62
231,90
231,104
231,2
231,32
231,141
231,1
231,3
232,134
232,65
232,123
232,142
232,14
232,1
233,10
234,39
234,11
234,13
234,38
234,29
234,18
234,30
234,1
234,10
235,12
235,13
235,18
235,41
235,54
235,10
235,11
236,1
236,4
236,14
237,13
237,11
237,67
237,68
237,9
237,86
237,1
238,5
238,11
238,13
238,45
238,18
238,49
239,26
240,11
240,48
240,12
240,13
240,9
240,5
241,19
241,1
241,143
242,11
242,13
242,62
242,28
243,40
244,12
244,5
244,6
245,30
245,10
246,10
246,19
246,32
247,40
247,38
247,1
247,41
247,144
247,15
247,28
247,42
247,103
248,18
248,3
248,1
248,8
248,145
248,146
248,106
248,7
248,23
249,80
250,10
250,11
250,13
250,24
250,18
251,6
251,7
251,19
252,147
252,54
252,41
252,117
253,18
253,1
253,23
253,3
253,12
253,7
254,90
254,110
255,112
256,21
256,20
256,1
256,26
256,148
256,108
257,45
258,30
258,32
259,6
259,5
260,7
260,18
260,115
260,10
261,24
261,10
261,1
261,7
261,13
261,37
261,11
261,30
262,3
262,6
262,5
262,1
263,62
264,18
265,149
265,115
265,85
265,16
265,1
265,122
266,112
266,111
266,45
267,33
267,32
267,12
267,110
267,7
267,45
268,30
268,6
269,13
269,150
269,151
269,49
269,89
269,11
269,65
270,124
270,66
270,62
270,28
270,5
271,30
271,1
271,113
271,32
271,104
272,152
272,1
272,4
273,17
273,7
273,18
273,110
274,32
274,30
274,10
275,70
275,41
275,42
276,25
277,30
278,19
279,1
279,3
279,52
279,51
279,7
279,53
280,70
281,7
281,132
282,70
282,26
282,22
283,18
284,3
284,1
284,153
284,18
285,40
286,18
286,25
286,7
287,11
287,24
287,12
287,13
287,45
287,154
287,120
287,3
287,1
287,18
287,25
287,35
288,1
288,63
288,67
288,68
289,19
289,32
289,7
290,1
290,13
290,96
290,11
290,86
290,9
290,67
290,68
290,41
290,47
290,42
291,25
291,13
291,28
291,11
291,12
292,107
292,3
292,1
293,40
294,61
294,28
294,83
295,155
295,87
295,35
295,24
295,11
295,13
296,6
296,62
297,70
298,119
298,40
299,40
299,28
299,130
300,30
300,28
300,62
300,10
300,5
300,32
300,14
300,7
301,12
301,11
301,13
301,9
301,7
302,90
302,111
302,112
302,110
303,12
303,18
303,23
303,11
303,13
303,29
304,99
305,5
305,122
305,1
305,32
306,62
306,6
306,101
307,37
307,45
307,5
307,12
307,47
307,36
307,1
307,156
308,104
308,30
308,90
308,6
309,100
309,99
309,28
310,7
310,70
310,16
310,1
311,21
312,30
312,10
312,7
313,106
313,10
313,26
313,1
313,45
313,130
313,39
313,32
313,6
313,38
314,51
314,7
314,11
314,13
314,9
314,12
314,5
314,48
314,46
314,18
315,107
315,1
315,3
316,19
316,52
316,1
316,53
316,51
316,3
316,7
317,5
317,6
318,6
318,19
318,7
319,7
319,110
319,30
319,1
319,3
319,19
319,45
320,41
320,42
320,6
320,79
321,30
321,10
322,11
322,18
322,70
322,61
322,23
322,29
322,13
323,40
324,7
324,6
325,1
325,4
326,13
326,45
326,87
326,18
326,35
326,11
326,12
326,46
326,157
326,158
327,10
327,33
327,11
327,32
327,13
327,24
328,21
328,26
328,24
328,11
328,20
328,13
329,31
329,6
330,10
331,30
331,10
332,6
332,5
333,14
333,65
334,105
334,159
334,28
335,90
335,50
335,65
335,32
335,123
336,11
336,13
336,45
336,10
336,46
336,1
336,12
337,62
337,35
337,41
337,10
337,104
337,13
337,49
337,90
337,11
337,42
337,110
338,13
338,28
338,11
338,61
339,25
339,20
339,21
340,70
341,80
341,130
341,33
342,13
342,35
342,24
342,1
342,67
342,68
342,11
342,45
342,60
342,160
343,13
343,11
343,15
343,63
344,129
344,21
345,87
345,45
345,13
345,35
346,62
347,12
347,70
347,83
348,1
348,4
348,122
348,45
349,63
350,6
350,62
351,41
351,1
351,7
351,4
351,45
351,42
352,62
353,1
353,16
353,22
354,30
355,31
355,30
355,7
356,101
356,18
356,62
356,6
356,124
357,7
357,10
357,30
358,23
358,1
358,3
359,46
359,13
359,11
359,161
359,45
359,101
360,11
360,1
360,67
360,68
360,12
360,13
361,25
361,70
361,12
361,1
362,113
362,30
362,7
362,1
362,31
363,30
364,80
364,1
364,23
364,98
365,101
365,62
366,31
366,13
366,11
366,19
366,1
366,162
366,7
366,48
366,67
366,68
366,47
367,12
367,9
367,31
367,46
367,7
367,11
367,13
367,18
368,12
368,1
368,55
368,3
369,90
369,45
370,5
371,4
371,107
371,1
372,30
372,10
373,163
374,18
374,3
374,7
374,1
375,46
375,18
375,62
375,13
375,101
375,7
375,11
376,91
376,83
376,33
376,7
376,70
376,106
377,61
378,1
378,3
379,129
379,21
380,164
380,165
380,26
380,80
381,26
381,80
382,55
382,7
382,1
382,3
383,5
383,6
383,18
383,62
383,124
384,70
385,62
386,30
387,16
387,1
387,32
387,7
387,42
387,41
387,50
388,11
388,30
388,13
388,29
388,10
389,45
390,50
390,45
390,90
390,18
391,4
391,1
391,105
391,122
392,161
392,25
392,13
392,45
392,12
392,11
392,49
393,38
393,65
393,10
393,1
394,35
394,11
394,87
394,9
394,13
394,12
395,45
396,1
396,4
397,62
398,6
398,62
398,101
398,124
398,18
399,41
399,19
399,7
399,42
399,12
400,104
400,148
400,1
400,84
401,7
401,6
401,19
402,31
402,161
402,46
402,9
402,11
402,5
402,13
403,12
403,6
403,5
404,18
405,1
405,144
405,103
405,38
405,67
405,68
405,62
406,30
406,32
406,7
407,5
407,12
408,45
409,3
409,23
409,1
409,18
409,45
409,12
410,11
410,18
410,12
410,13
410,5
410,29
411,10
411,70
411,48
411,32
411,13
411,11
412,7
412,166
412,27
413,45
413,161
413,18
414,5
415,12
416,113
416,1
416,167
416,168
416,169
416,38
416,42
416,41
417,26
417,20
418,13
418,67
418,68
418,155
418,24
418,1
418,11
419,80
419,111
419,112
420,81
420,3
420,23
420,1
421,62
421,7
422,7
423,6
423,7
423,10
424,28
424,7
425,62
426,21
426,25
427,5
427,6
428,28
429,15
